program, simb_program
leimprime, ident
;, simb_ponto_virgula
var, simb_var
a, ident
:, simb_dp
real, simb_tipo
;, simb_ponto_virgula
var, simb_var
b, ident
:, simb_dp
integer, simb_tipo
;, simb_ponto_virgula
procedure, simb_procedure
nomep, ident
(, simb_par
x, ident
:, simb_dp
real, simb_tipo
), simb_fpar
;, simb_ponto_virgula
var, simb_var
a, ident
,, simb_virgula
c, ident
:, simb_dp
integer, simb_tipo
;, simb_ponto_virgula
begin, simb_begin
read, simb_read
(, simb_par
c, ident
,, simb_virgula
a, ident
), simb_fpar
;, simb_ponto_virgula
if, simb_if
a, ident
<, simb_menor
x, ident
+, simb_mais
c, ident
then, simb_then
begin, simb_begin
a, ident
:=, simb_atribuicao
c, ident
+, simb_mais
x, ident
;, simb_ponto_virgula
write, simb_write
(, simb_par
a, ident
), simb_fpar
;, simb_ponto_virgula
end, simb_end
else, simb_else
c, ident
:=, simb_atribuicao
a, ident
+, simb_mais
x, ident
;, simb_ponto_virgula
end, simb_end
;, simb_ponto_virgula
begin, simb_begin
read, simb_read
(, simb_par
b, ident
), simb_fpar
;, simb_ponto_virgula
nomep, ident
(, simb_par
b, ident
), simb_fpar
;, simb_ponto_virgula
end, simb_end
., simb_ponto
